"","Filtros"
"Cancelada","Não"
"Operação","S - Venda"

"Documento","Código Produto","Cancelada","Operação","Valor item NF","Valor Total Item","Desconto Item","Plano de Pagamento","Qtde Item","Descrição Produto","Linha Produto","Setor Produto","Aprovador Desconto"
"29520","18439","Não","S - Venda","1,50","1,50","0,00","QR LINX - PIX","1,00","Chumbada Oliva 5 15g","Camping","Camping","(blank)"
"29520","246224","Não","S - Venda","3,00","3,00","0,00","QR LINX - PIX","1,00","Selo Seguranca Repetitivo Universal Silicone","Peças e Acess. Reposição","Utilidades Domesticas","(blank)"
"29520","11590","Não","S - Venda","2,50","2,50","0,00","QR LINX - PIX","1,00","Borracha Panela Pres Clock 7.0l","Peças e Acess. Reposição","Utilidades Domesticas","(blank)"
"29520","16667","Não","S - Venda","5,25","5,25","0,00","QR LINX - PIX","1,00","Pasta Aba/elast Of Cristal Delloline","Acessorios Escolares","Escolar/escritorio","(blank)"
"29520","29848","Não","S - Venda","21,75","21,75","0,00","QR LINX - PIX","1,00","Guarda Chuva 8 Varetas Pt Cb Curvo","Aces. Liquidif. e Cafet.","Utilidades Domesticas","(blank)"
"29521","9789615","Não","S - Venda","17,25","17,25","0,00","DÉBITO - REDE CARD","1,00","Difusor Premium 300ml Orvalho Tropical","Caixas","Caixas","(blank)"
"29521","83317","Não","S - Venda","8,25","8,25","0,00","DÉBITO - REDE CARD","1,00","Chaveiro Metal/MDF/Borracha Simples","Caixas","Caixas","(blank)"
"29522","9794665","Não","S - Venda","29,75","29,75","0,00","DINHEIRO","1,00","Guarda Chuva Curto UC0000 Pt","Bazar","Bazar","(blank)"
"29523","936","Não","S - Venda","14,00","14,00","0,00","CRÉDITO 1X - REDE CARD","1,00","Caneta Gel Uni-Ball Signo C/ Gliter Vd","Acessorios Escolares","Escolar/escritorio","(blank)"
"29523","31169","Não","S - Venda","6,50","6,50","0,00","CRÉDITO 1X - REDE CARD","2,00","Caneta Esf 0.7mm Cis Spiro Gem Prata","Acessorios Escolares","Escolar/escritorio","(blank)"
"29523","1377","Não","S - Venda","8,25","8,25","0,00","CRÉDITO 1X - REDE CARD","1,00","Caneta Esf Ice 0.8mm Faber Pt","Acessorios Escolares","Escolar/escritorio","(blank)"
"29524","6712","Não","S - Venda","9,75","9,75","0,00","DINHEIRO","1,00","Cad Univ Broch Cd 96Fls Stiff Az","Cadernos","Escolar/escritorio","(blank)"
"29525","9794665","Não","S - Venda","29,75","29,75","0,00","DÉBITO - REDE CARD","1,00","Guarda Chuva Curto UC0000 Pt","Bazar","Bazar","(blank)"
"29525","9794537","Não","S - Venda","8,25","8,25","0,00","DÉBITO - REDE CARD","1,00","Capa Chuva Descartavel Nacional","Bazar","Bazar","(blank)"
"29525","3144","Não","S - Venda","3,50","3,50","0,00","DÉBITO - REDE CARD","1,00","Colher Mesa Tramontina Leme Az Cl","Talheres de Mesa","Utilidades Domesticas","(blank)"
"29525","3140","Não","S - Venda","3,25","3,25","0,00","DÉBITO - REDE CARD","1,00","Faca Churrasco Tramontina Leme Az Cl","Talheres de Mesa","Utilidades Domesticas","(blank)"
"29525","3142","Não","S - Venda","3,25","3,25","0,00","DÉBITO - REDE CARD","1,00","Garfo Mesa Tramontina Leme Az Cl","Talheres de Mesa","Utilidades Domesticas","(blank)"
"29525","16267","Não","S - Venda","7,75","7,75","0,00","DÉBITO - REDE CARD","1,00","Squeeze 250ml Sleeve Princesas","Plasticos/acrilicos","Plasticos/acrilicos","(blank)"
"29525","16237","Não","S - Venda","7,50","7,50","0,00","DÉBITO - REDE CARD","1,00","Squeeze 750ml Esp Lisa","Plasticos/acrilicos","Plasticos/acrilicos","(blank)"
"29526","6906","Não","S - Venda","11,25","11,25","0,00","CRÉDITO 1X - REDE CARD","1,00","Cad Univ Cd 1m 80 Fls Grip Fsc","Cadernos","Escolar/escritorio","(blank)"
"29527","15409","Não","S - Venda","20,75","20,75","0,00","DÉBITO - BANRISUL","1,00","Relogio Parede Quartz Sulclock Pt 119052E","Moveis e Decoração","Moveis e Decoração","(blank)"
"29527","9794023","Não","S - Venda","17,50","17,50","0,00","DÉBITO - BANRISUL","1,00","Pote Ret Dec 2 Div A1.","Plasticos/acrilicos","Plasticos/acrilicos","(blank)"
"29528","29469","Não","S - Venda","2,50","2,50","0,00","DINHEIRO","1,00","Fita Adesiva 1.5cm 20m WPF20015","Acessorios Escolares","Escolar/escritorio","(blank)"
"29528","9794591","Não","S - Venda","7,00","7,00","0,00","DINHEIRO","1,00","Corretivo em Fita 5mmX6m Maxprint","Acessorios Escolares","Escolar/escritorio","(blank)"
"29528","4892","Não","S - Venda","11,50","11,50","0,00","DINHEIRO","2,00","Marcador Cd/Retroprojetor Ponta Md Pt","Acessorios Escolares","Escolar/escritorio","(blank)"
"29529","396851","Não","S - Venda","5,00","5,00","0,00","DINHEIRO","1,00","Placa Eva 40x48cm Rx C/ Brilho Leoarte","Papelaria","Escolar/escritorio","(blank)"
"29529","396677","Não","S - Venda","10,00","10,00","0,00","DINHEIRO","2,00","Placa Eva 40x48cm Pt C/ Brilho Leoarte","Papelaria","Escolar/escritorio","(blank)"
