Ano,Mês,Código do Produto,Código de Barras,Descrição do Produto,Quantidade,Valor Bruto,Valor Desconto,Valor Líquido,Valor Vale Troca
2023.0,04/2023,7898121650968.0,7898121650968.0,Cesta Rattan 4.0l Mr,1.0,"23,50","0,00","23,50","0,00"
2023.0,04/2023,7899014659495.0,7899014659495.0,Esponja Infantil Cajovil Urso P Az Bebe,2.0,"16,00","0,00","16,00","0,00"
2023.0,04/2023,7899206140398.0,7899206140398.0,Tijela Quadrada 14cm 760ml ,1.0,"6,75","0,00","6,75","0,00"
2023.0,04/2023,7898955002438.0,7898955002438.0,Cesto Org C/tpa 29X19X12 Quadratta Cr Paramount,1.0,"43,00","0,00","43,00","0,00"
2023.0,04/2023,20886.0,20886.0,Frasco 1l Pet Cristal Suco Shortneck C/Tpa,2.0,"5,50","0,00","5,50","0,00"
2023.0,04/2023,7896359019502.0,7896359019502.0,Escorredor Louca Pr Sanremo,2.0,"41,00","0,00","41,00","0,00"
2023.0,04/2023,7896042084480.0,7896042084480.0,Tigela Inf Plasutil Decor Urso Az 008448,2.0,"12,00","0,00","12,00","0,00"
2023.0,04/2023,7897291801545.0,7897291801545.0,Cj Pote 1.5l/850ml/400ml Giplas Ret Sort Cr-1594,4.0,"39,00","0,00","39,00","0,00"
2023.0,04/2023,7895155386757.0,7895155386757.0,Pote Multiuso Ret 5l Pt,2.0,"62,50","0,00","62,50","0,00"
2023.0,04/2023,7896456021170.0,7896456021170.0,Porta Talheres Cinquetti Vm Euro,6.0,"115,50","0,00","115,50","0,00"
2023.0,04/2023,7895155604783.0,7895155604783.0,Cesto Multiuso Plast 55l Pt C/ Tampa,1.0,"94,00","0,00","94,00","0,00"
2023.0,04/2023,7899206115921.0,7899206115921.0,Prato Raso 28cm Br Melamina,18.0,"144,00","0,00","144,00","0,00"
2023.0,04/2023,7898955006658.0,7898955006658.0,Organizador Modular C/ Div Br 40.5x19.5x7.5cm,3.0,"158,25","0,00","158,25","0,00"
2023.0,04/2023,7895155771591.0,7895155771591.0,Dispenser C/ Furos Plast Pp Am Claro ,2.0,"33,00","0,00","33,00","0,00"
2023.0,04/2023,7897698207773.0,7897698207773.0,Box Organizador M 13 Divisorias,1.0,"28,00","0,00","28,00","0,00"
2023.0,04/2023,7909875002320.0,7909875002320.0,Porta Sabao Em Po Plast Rs,1.0,"16,25","0,00","16,25","0,00"
